drift,system,problem,relearn counts,0-50,51-100,101-150,151-200
reoccurring,open_loop,sokoban_sokoban_p03_hyp-4_10_1_-openloop_per50.0.csv,20,0.7808928571428572,0.6854956268221575,0.747631195335277,0.7080903790087464
reoccurring,open_loop,miconic_miconic_p05_hyp-4_10_1_-openloop_per50.0.csv,20,1.0,0.9224489795918367,0.9207482993197279,0.9625850340136054
reoccurring,open_loop,depots_problem01_-openloop_per50.0.csv,20,0.7763333333333333,0.7819727891156463,0.7699546485260771,0.7850340136054421
reoccurring,open_loop,zeno-travel_zeno-travel_p06_hyp-2_10_1_-openloop_per50.0.csv,20,0.947,0.7727891156462585,0.8894557823129252,0.7829931972789116
reoccurring,open_loop,blocks-world_block-words_p01_-openloop_per50.0.csv,20,0.6571428571428571,0.49390184645286683,0.6503887269193391,0.4932215743440233
reoccurring,open_loop,miconic_miconic_p07_hyp-1_10_3_-openloop_per50.0.csv,20,1.0,0.9571428571428572,0.9428571428571428,0.9571428571428572
reoccurring,open_loop,logistics_logistics-aaai_p01_hyp-2_10_0_-openloop_per50.0.csv,20,0.9322222222222222,0.9054421768707482,0.9143990929705216,0.9002267573696145
reoccurring,open_loop,rovers_rovers_p02_hyp-2_10_1_-openloop_per50.0.csv,20,0.878,0.8258503401360544,0.7687074829931972,0.8183673469387756
reoccurring,open_loop,miconic_miconic_p06_hyp-2_10_3_-openloop_per50.0.csv,20,0.9983333333333333,0.927891156462585,0.9506802721088435,0.9455782312925171
reoccurring,open_loop,logistics_logistics_p03_hyp-7_10_2_-openloop_per50.0.csv,20,0.9226666666666666,0.8722222222222222,0.9047619047619048,0.8839002267573696
reoccurring,open_loop,dwr_dwr_p05_hyp-3_10_1_-openloop_per50.0.csv,20,0.7682142857142857,0.8494897959183674,0.7066326530612245,0.8416545189504373
reoccurring,open_loop,logistics_logistics-aaai_p02_hyp-2_10_0_-openloop_per50.0.csv,20,0.871,0.8539682539682539,0.8377551020408163,0.8470521541950113
reoccurring,open_loop,miconic_miconic_p04_hyp-1_10_3_-openloop_per50.0.csv,20,0.785,0.8057823129251701,0.7625850340136054,0.8333333333333334
